state,temporal_unit,date,metric,futurerevision,buprenorphine,naloxone,naltrexone,buprenorphine_brand,buprenorphine_generic,naloxone_brand,naloxone_generic,naltrexone_brand,naltrexone_generic
AK,annual,2016-01-01,rx_percap,no,91.92626972425352,1.54229240253479,16.60785599314902,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2017-01-01,adjmedamt,no,2845786.76361084,42941.73571777344,2467860.375457764,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2017-01-01,adjmedamt_gb,no,0.0,0.0,0.0,2429314.702880859,416472.06072998047,37778.95556640625,5162.780151367188,2428663.34375,39197.031707763665
AK,annual,2017-01-01,adjmedamt_percap,no,22937.326282310765,346.1146899276329,19891.20174950731,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2017-01-01,rx,no,16599.0,501.0,4199.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2017-01-01,rx_gb,no,0.0,0.0,0.0,12048.0,4551.0,401.0,100.0,2575.0,1624.0
AK,annual,2017-01-01,rx_percap,no,133.78960216857,4.0381101684712055,33.844360473873444,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2018-01-01,adjmedamt,yes,4175577.888108722,78454.85802476254,2654709.3480070783,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2018-01-01,adjmedamt_gb,yes,0.0,0.0,0.0,3548998.461572213,626579.4265365092,78454.85802476254,0.0,2609410.38108973,45298.966917347694
AK,annual,2018-01-01,adjmedamt_percap,yes,30282.73437898087,568.9817529378291,19252.86994838177,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2018-01-01,rx,yes,25199.21022757915,877.3576862749384,5003.698029877043,0.0,0.0,0.0,0.0,0.0,0.0
AK,annual,2018-01-01,rx_gb,yes,0.0,0.0,0.0,18463.9165573902,6735.293670188961,821.1203125375647,56.237373737373744,2957.957354337334,2045.740675539708
AK,annual,2018-01-01,rx_percap,yes,182.75338416151902,6.362901251221827,36.288547935583615,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2010-01-01,adjmedamt,no,1058702.171142578,0.0,117896.50732421881,0.0,0.0,0.0,0.0,0.0,0.0
AL,annual,2010-01-01,adjmedamt_gb,no,0.0,0.0,0.0,1021634.220458984,37067.95068359375,0.0,0.0,69260.5927734375,48635.91455078125
